Metric,Sub-label,TTM Jul 2026,TTM Jul 2025
Regional Dairy Category Growth,"retail volume, YoY",,
Local/Premium Segment Share,% of category retail $,,
School/Institutional Demand,contract volume growth,,
Direct-to-Consumer Growth,farm store & online,,
