Metric,Sub-label,TTM Jul 2026,TTM Jul 2025
Utilization Rate,target 85%,,
Product Loss / Shrink,vs. industry avg,,
Labor Hrs / cwt,vs. industry avg,,
Energy Cost / cwt,vs. industry avg,,
