Rank,Product,Cases,% Mix,Est. Revenue,Rev/Case
1,CD Whole Gallons,,,,
2,CD Half Pints,,,,
3,WF Gallons,,,,
4,CD Half-Gallons,,,,
5,Cedar Cr Gallons,,,,
6,WF Half-Gallons,,,,
7,CD Quarts,,,,
8,CD Pints,,,,
9,5-Gal Foodservice,,,,
10,Country Dairy Mix,,,,
,Total,,,,
