Month,cwt Processed,Gallons Processed,Utilization %,Labor Hrs/cwt,Labor Hrs/gal,Energy $/cwt,Energy $/gal,Loss %
Jul,,=B2*11.63,,,=E2/11.63,,=G2/11.63,
Aug,,=B3*11.63,,,=E3/11.63,,=G3/11.63,
Sep,,=B4*11.63,,,=E4/11.63,,=G4/11.63,
Oct,,=B5*11.63,,,=E5/11.63,,=G5/11.63,
Nov,,=B6*11.63,,,=E6/11.63,,=G6/11.63,
Dec,,=B7*11.63,,,=E7/11.63,,=G7/11.63,
