Month,cwt,gal
Jan,,=B2*11.63
Feb,,=B3*11.63
Mar,,=B4*11.63
Apr,,=B5*11.63
May,,=B6*11.63
Jun,,=B7*11.63
Jul,,=B8*11.63
Aug,,=B9*11.63
Sep,,=B10*11.63
Oct,,=B11*11.63
Nov,,=B12*11.63
Dec,,=B13*11.63
