Metric,Sub-label,TTM Jul 2026,TTM Jul 2025
Total Cases Sold,all SKUs,,
Est. Product Revenue,at avg $/case,,
Top SKU Share,CD Whole Gallons,,
School Half-Pints,% of total mix,,
